frame_number,enemy_sue_x,enemy_inky_x,enemy_pinky_x,enemy_blinky_x,enemy_sue_y,enemy_inky_y,enemy_pinky_y,enemy_blinky_y,player_x,player_y,fruit_x,fruit_y,ghosts_count,player_direction,dots_eaten_count,player_score,num_lives,difficulty
145,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
146,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
147,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
148,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
149,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
150,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
151,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
152,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
153,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
154,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
155,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
156,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
157,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
158,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
159,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
160,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
161,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
162,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
163,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
164,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
165,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
166,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
167,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
168,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
169,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
170,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
171,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
172,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
173,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
174,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
175,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
176,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
177,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
178,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
179,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
180,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
181,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
182,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
183,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
184,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
185,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
186,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
187,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
188,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
189,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
190,88,88,88,88,80,80,80,50,88,98,0,0,3,3,0,0,2,1
